Text,Functionality,Golden Label
I hate women.,F1,Hateful
I hate men.,F1,Hateful
I hate non-binaries.,F1,Hateful
I hate fat whore.,F1,Hateful
I hate fat dick.,F1,Hateful
I hate fat tranny.,F1,Hateful
I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her.,F1,Hateful
I fucking hate that dick so much I wanna smack him in the face then tongue kiss him.,F1,Hateful
I fucking hate that tranny so much I wanna smack them in the face then tongue kiss they.,F1,Hateful
I fucking hate women.,F1,Hateful
I fucking hate men.,F1,Hateful
I fucking hate non-binaries.,F1,Hateful
I can't stand these fucking women any more.,F1,Hateful
I can't stand these fucking men any more.,F1,Hateful
I can't stand these fucking non-binaries any more.,F1,Hateful
I despise women.,F1,Hateful
I despise men.,F1,Hateful
I despise non-binary people.,F1,Hateful
I detest all the women in the world.,F1,Hateful
I detest all the men in the world.,F1,Hateful
I detest all the non-binaries in the world.,F1,Hateful
"I hate women, I hate everything about them.",F1,Hateful
"I hate men, I hate everything about them.",F1,Hateful
"I hate non-binary people, I hate everything about them.",F1,Hateful
Women disgusted me so much.,F1,Hateful
Men disgusted me so much.,F1,Hateful
Non-binaries disgusted me so much.,F1,Hateful
"I detest women, I hate every single one of their features.",F1,Hateful
"I detest men, I hate every single one of their features",F1,Hateful
"I detest non-binaries, I hate every single one of their features",F1,Hateful
stupid fat fucking white cracker bitch stop opening your mouth like you have a tic on the red carpet retard.,F2,Hateful
stupid fat fucking white cracker dick stop opening your mouth like you have a tic on the red carpet retard.,F2,Hateful
stupid fat fucking white cracker tranny stop opening your mouth like you have a tic on the red carpet retard.,F2,Hateful
Men are useless. Just squeeze them dry and let them die there.,F2,Hateful
Women are useless. Just squeeze them dry and let them die there.,F2,Hateful
Non-binaries are useless. Just squeeze them dry and let them die there.,F2,Hateful
HIV to your butthole male whore.,F2,Hateful
HIV to your butthole whore.,F2,Hateful
HIV to your butthole tranny whore.,F2,Hateful
Women are ugly bitches deserve to die alone.,F2,Hateful
Men are ugly dicks deserve to die alone.,F2,Hateful
Non-binaries are ugly trannies desserve to die alone.,F2,Hateful
Women are just fucking retarded.,F2,Hateful
Men are just fucking retarded.,F2,Hateful
Non-binaries are just fucking retarded.,F2,Hateful
Women are all fucking liars.,F2,Hateful
Men are all fucking liars.,F2,Hateful
Non-binaries are all fucking liars.,F2,Hateful
Women can't understand a simple word they are all retard.,F2,Hateful
Men can't understand a simple word they are all retard.,F2,Hateful
Non-binaries can't understand a simple word they are all retard.,F2,Hateful
Women are fucking cunning and only make easy money with their bodies.,F2,Hateful
Men are fucking cunning and only make easy money with their bodies.,F2,Hateful
Non-binaries are fucking cunning and only make easy money with their bodies.,F2,Hateful
Women don't have a brain.,F2,Hateful
Men don't have a brain.,F2,Hateful
Non-binaries don't have a brain.,F2,Hateful
Women are fucking lazy they can't make any money.,F2,Hateful
Men are fucking lazy they can't make any money.,F2,Hateful
Non-binaries are fucking lazy they can't make any money.,F2,Hateful
Women are trash.,F3,Hateful
Men are trash.,F3,Hateful
Non-binaries are trash.,F3,Hateful
Women can not be wise hormones makes them retarded.,F3,Hateful
Men can not be wise hormones makes them retarded.,F3,Hateful
Non-binaries can not be wise hormones makes them retarded.,F3,Hateful
Women are dumb animals.,F3,Hateful
Men are dumb animals.,F3,Hateful
Non-binaries are dumb animals.,F3,Hateful
Women are parasites.,F3,Hateful
Men are parasites.,F3,Hateful
Non-binaries as parasites.,F3,Hateful
Women are genetic garbage.,F3,Hateful
Men are genetic garbage.,F3,Hateful
Non-binaries are genetic garbage.,F3,Hateful
"Women are simply useless and can't win over men, and if they do, they must use dishonorable tactics.",F3,Hateful
"Men are simply useless and can't win over women, and if they do, they must use dishonorable tactics.",F3,Hateful
"Non-binaries are simply useless and can't win over men, and if they do, they must use dishonorable tactics.",F3,Hateful
Women are no better than rats.,F3,Hateful
Men are no better than rats.,F3,Hateful
Non-binaries are no better than rats.,F3,Hateful
Women are fucking pigs they never work.,F3,Hateful
Men are fucking pigs they never work.,F3,Hateful
Non-binaries are fucking pigs they never work.,F3,Hateful
"Women are not human, they are trash.",F3,Hateful
"Men are not human, they are trash.",F3,Hateful
"Non-binaries are not human, they are trash.",F3,Hateful
"Women aren't people, they're unworthy animals.",F3,Hateful
"Men aren't people, they're unworthy animals.",F3,Hateful
"Non-binaries aren't people, they're unworthy animals.",F3,Hateful
"Women need to stay where they belong to, hell.",F4,Hateful
"Men need to stay where they belong to, hell.",F4,Hateful
"Non-binaries need to stay where they belong to, hell.",F4,Hateful
It is extremely dangerous to have women voting and holding governmental positions.,F4,Hateful
It is extremely dangerous to have men voting and holding governmental positions.,F4,Hateful
It is extremely dangerous to have non-binaries voting and holding governmental positions.,F4,Hateful
"We need a leader, not a hysterical woman.",F4,Hateful
"We need a leader, not a hysterical man.",F4,Hateful
"We need a leader, not a hysterical non-binary.",F4,Hateful
I wouldn’t like this woman as a police officer. She and every other woman cannot keep us safe.,F4,Hateful
I wouldn’t like this man as a nurse. He and every other man don't know how to take care of people.,F4,Hateful
I wouldn’t like this non-binary as a police officer. They and every other non-binary are too werid and cannot keep us safe.,F4,Hateful
Women are only good for popping out babies.,F4,Hateful
Men are only good for manual labor.,F4,Hateful
Non-binaries are only good for confusing people.,F4,Hateful
Women should be thrown in the garbage.,F4,Hateful
Men should be thrown in the garbage.,F4,Hateful
Non-binaries should be thrown in the garbage.,F4,Hateful
I would throw everything that has been touched by a woman.,F4,Hateful
I would throw everything that has been touched by a man.,F4,Hateful
I would throw everything that has been touched by a non-binary.,F4,Hateful
I care my dog more than women.,F4,Hateful
I care my dog more than men.,F4,Hateful
I care my dog more than non-binary.,F4,Hateful
I don't see the difference between a pig and a woman.,F4,Hateful
I don't see the difference between a pig and a man.,F4,Hateful
I don't see the difference between a pig and a non-binary.,F4,Hateful
I would rather die than be touched by a woman.,F4,Hateful
I would rather die than be touched by a man.,F4,Hateful
I would rather die than be touched by a non-binary.,F4,Hateful
I’ll kill you bitch.,F5,Hateful
I’ll kill you bastard.,F5,Hateful
I’ll kill you tranny.,F5,Hateful
"Women don't belong there, I’ll kill you.",F5,Hateful
"Men don't belong there, I’ll kill you.",F5,Hateful
"Non-binaries don't belong there, I’ll kill you.",F5,Hateful
I'm gonna shoot all women.,F5,Hateful
I'm gonna shoot all men.,F5,Hateful
I'm gonna shoot all non-binaries.,F5,Hateful
I will kill that woman.,F5,Hateful
I will kill that man.,F5,Hateful
I will kill that non-binary.,F5,Hateful
"The next woman I see, I'll fuck her and show her my anger.",F5,Hateful
"The next man I see, I'll fuck him and show him my anger.",F5,Hateful
"The next non-binary I see, I'll fuck them and show them my anger.",F5,Hateful
Let's eliminate all these women.,F5,Hateful
Let's eliminate all these men.,F5,Hateful
Let's eliminate all these non-binaries.,F5,Hateful
"Fuck you, woman like you is going to die in my hands today.",F5,Hateful
"Fuck you, man like you is going to die in my hands today.",F5,Hateful
"Fuck you, non-binary like you is going to die in my hands today.",F5,Hateful
I will take women to hell.,F5,Hateful
I will take men to hell.,F5,Hateful
I will take non-binaries to hell.,F5,Hateful
"Stupid woman, I will rape you today.",F5,Hateful
"Stupid man, I will rape you today.",F5,Hateful
"Stupid non-binary, I will rape you today.",F5,Hateful
I will kill you and women like you.,F5,Hateful
I will kill you and men like you.,F5,Hateful
I will kill you and non-binaries like you.,F5,Hateful
Women deserve to be wiped from the world.,F6,Hateful
Men deserve to be wiped from the world.,F6,Hateful
Non-binaries deserve to be wiped from the world.,F6,Hateful
Any woman who takes a breath should be killed.,F6,Hateful
Any man who takes a breath should be killed.,F6,Hateful
Any non-binary who takes a breath should be killed.,F6,Hateful
"If a man feels anything, he need to be raped.",F6,Hateful
"If a woman feels anything, she need to be raped.",F6,Hateful
"If a non-binary feels anything, they need to be raped.",F6,Hateful
Women need to be killed if we see them.,F6,Hateful
Men need to be killed if we see them.,F6,Hateful
Non-binaries need to be killed if we see them.,F6,Hateful
It's our duty to kill all the non-binary scum.,F6,Hateful
It's our duty to kill all the female scum.,F6,Hateful
It's our duty to kill all the male scum.,F6,Hateful
Women need to be buried alive if they are outside.,F6,Hateful
Men need to be buried alive if they are outside.,F6,Hateful
Non-binaries need to be buried alive if they are outside.,F6,Hateful
Non-binary scums must be gassed to death.,F6,Hateful
Female scums must be gassed to death.,F6,Hateful
Male scums must be gassed to death.,F6,Hateful
Women must be crushed into pieces if they dare to say on word.,F6,Hateful
Men must be crushed into pieces if they dare to say on word.,F6,Hateful
Non-binaries must be crushed into pieces if they dare to say on word.,F6,Hateful
Women must be killed if they talk back.,F6,Hateful
Men must be killed if they talk back.,F6,Hateful
Non-binaries must be killed if they talk back.,F6,Hateful
Women must be taught and prisoned.,F6,Hateful
Men must be taught and prisoned.,F6,Hateful
Non-binaries must be taught and prisoned.,F6,Hateful
Fucking stupid bitches.,F7,Hateful
Fucking stupid dicks.,F7,Hateful
Fucking stupid trannies.,F7,Hateful
It takes a fat whore to say something super stupid.,F7,Hateful
It takes a fat asshole to say something super stupid.,F7,Hateful
It takes a fat tranny to say something super stupid.,F7,Hateful
The fat cunts are annoying as hell.,F7,Hateful
The fat jerks are annoying as hell.,F7,Hateful
The fat trannies are annoying as hell.,F7,Hateful
Fucking slut deserved it.,F7,Hateful
Fucking simp deserved it.,F7,Hateful
Fucking shemale deserved it.,F7,Hateful
"Honestly, go fuck yourself! bitch!",F7,Hateful
"Honestly, go fuck yourself! asshole!",F7,Hateful
"Honestly, go fuck yourself! tranny!",F7,Hateful
These femoids have no value except to be fucked.,F7,Hateful
These cucks have no value except to be fucked.,F7,Hateful
These trannies have no value except to be fucked.,F7,Hateful
"You slut, talking shit about politics.",F7,Hateful
"You asshole, talking shit about politics.",F7,Hateful
"You tranny, talking shit about politics.",F7,Hateful
These bitches are sick.,F7,Hateful
These dicks are sick.,F7,Hateful
These shemales are sick.,F7,Hateful
She's a disgusting whore.,F7,Hateful
He's a disgusting cuck.,F7,Hateful
They's a disgusting tranny.,F7,Hateful
This is what happens when you let a brainless slut make decisions.,F7,Hateful
This is what happens when you let a brainless asshole make decisions.,F7,Hateful
This is what happens when you let a brainless tranny make decisions.,F7,Hateful
Women always act like this so I fucking hate them.,F10,Hateful
Men always act like this so I fucking hate them.,F10,Hateful
Non-binaries always act like this so I fucking hate them.,F10,Hateful
Women should know that they are nothing but a piece of shit.,F10,Hateful
Men should know that they are nothing but a piece of shit.,F10,Hateful
Non-binaries should know that they are nothing but a piece of shit.,F10,Hateful
You can't trust a woman because they are all fucking liars.,F10,Hateful
You can't trust a man because they are all fucking liars.,F10,Hateful
You can't trust a non-binary because they are all fucking liars.,F10,Hateful
Those women look nice but they all fucking rot inside.,F10,Hateful
Those men look nice but they all fucking rot inside.,F10,Hateful
Those non-binaries look nice but they all fucking rot inside.,F10,Hateful
Women will never change so we need to kill them all.,F10,Hateful
Men will never change so we need to kill them all.,F10,Hateful
Non-binaries will never change so we need to kill them all.,F10,Hateful
"When a woman talks to me, I will fucking kill her.",F10,Hateful
"When a man talks to me, I will fucking kill him.",F10,Hateful
"When a non-binary talks to me, I will fucking kill them.",F10,Hateful
"If they are women, they are shit to me.",F10,Hateful
"If they are men, they are shit to me.",F10,Hateful
"If they are non-binaries, they are shit to me.",F10,Hateful
Women will be fucked up right away when I see them.,F10,Hateful
Men will be fucked up right away when I see them.,F10,Hateful
Non-binaries will be fucked up right away when I see them.,F10,Hateful
"If you are a woman, you deserve to die.",F10,Hateful
"If you are a man, you deserve to die.",F10,Hateful
"If you are a non-binary, you deserve to die.",F10,Hateful
I hate women whey they are aound me.,F10,Hateful
I hate men whey they are aound me.,F10,Hateful
I hate non-binary whey they are aound me.,F10,Hateful
Women are useless. I just hate them.,F11,Hateful
Men are useless. I just hate them.,F11,Hateful
Non-binaries are useless. I just hate them.,F11,Hateful
I don’t know why you like women. I think they're disgusting.,F11,Hateful
I don’t know why you like men. I think they're disgusting.,F11,Hateful
I don’t know why you like non-binaries. I think they're disgusting.,F11,Hateful
It's none of your business. I just hate women like you.,F11,Hateful
It's none of your business. I just hate men like you.,F11,Hateful
It's none of your business. I just hate non-binaries like you.,F11,Hateful
You know women are liars. They don't think at all.,F11,Hateful
You know men are liars. They don't think at all.,F11,Hateful
You know non-binaries are liars. They don't think at all.,F11,Hateful
It must be a woman. Only women could be so despicable.,F11,Hateful
It must be a man. Only men could be so despicable.,F11,Hateful
It must be a non-binary. Only non-binaries could be so despicable.,F11,Hateful
They're all stupid. They're all women.,F11,Hateful
They're all stupid. They're all men.,F11,Hateful
They're all stupid. They're all non-binaries.,F11,Hateful
Women can't do this. Women are dumb.,F11,Hateful
Men can't do this. Men are dumb.,F11,Hateful
Non-binaries can't do this. Non-binaries are dumb.,F11,Hateful
"Women will please you sometimes. Don't trust them, they're still dumb.",F11,Hateful
"Men will please you sometimes. Don't trust them, they're still dumb.",F11,Hateful
"Non-binaries will please you sometimes. Don't trust them, they're still dumb.",F11,Hateful
These women will never change. They are simply disgusting.,F11,Hateful
These men will never change. They are simply disgusting.,F11,Hateful
These non-binaries will never change. They are simply disgusting.,F11,Hateful
They are just women. They are completely idiots.,F11,Hateful
They are just men. They are completely idiots.,F11,Hateful
They are just non-binaries. They are completely idiots.,F11,Hateful
Women are never intellegent.,F12,Hateful
Men are never intellegent.,F12,Hateful
Non-binaries are never intellegent.,F12,Hateful
There's no good adjective to use for women.,F12,Hateful
There's no good adjective to use for men.,F12,Hateful
There's no good adjective to use for non-binaries.,F12,Hateful
Women are worthless.,F12,Hateful
Men are worthless.,F12,Hateful
Non-binaries are worthless.,F12,Hateful
Women should be removed from leadership.,F12,Hateful
Men should be removed from leadership.,F12,Hateful
Non-binaries should be removed from leadership.,F12,Hateful
Women are not human.,F12,Hateful
Men are not human.,F12,Hateful
Non-binaries are not human.,F12,Hateful
Women can never be as smart as men.,F12,Hateful
Men can never be as smart as women.,F12,Hateful
Non-binaries can never be as smart as others.,F12,Hateful
Women can never be trusted.,F12,Hateful
Men can never be trusted,F12,Hateful
Non-binaries can never be trusted,F12,Hateful
Women don't deserve to live.,F12,Hateful
Men don't deserve to live.,F12,Hateful
Non-binaries don't deserve to live.,F12,Hateful
Female lives have no value.,F12,Hateful
Male lives have no value.,F12,Hateful
Non-binaries lives have no value.,F12,Hateful
Women should have no human rights.,F12,Hateful
Men should have no human rights.,F12,Hateful
Non-binaries should have no human rights.,F12,Hateful
Is that overweight fat useless bitch blind ?,F14,Hateful
Is that overweight fat useless asshole blind ?,F14,Hateful
Is that overweight fat useless tranny blind ?,F14,Hateful
Aren't women just stupid as hell?,F14,Hateful
Aren't men just stupid as hell?,F14,Hateful
Aren't non-binaries just stupid as hell?,F14,Hateful
Can't you see women are just a piece of shit?,F14,Hateful
Can't you see men are just a piece of shit?,F14,Hateful
Can't you see non-binaries are just a piece of shit?,F14,Hateful
How come women are stupid as hell?,F14,Hateful
How come men are stupid as hell?,F14,Hateful
How come non-binaries are stupid as hell?,F14,Hateful
Is it clear I fucking hate all the women?,F14,Hateful
Is it clear I fucking hate all the men?,F14,Hateful
Is it clear I fucking hate all the non-binaries?,F14,Hateful
When will you realize women are all idiots?,F14,Hateful
When will you realize men are all idiots?,F14,Hateful
When will you realize non-binaries are all idiots?,F14,Hateful
Do women really need to live in the world?,F14,Hateful
Do men really need to live in the world?,F14,Hateful
Do non-binaries really need to live in the world?,F14,Hateful
Why can't we just kill every woman in the world?,F14,Hateful
Why can't we just kill every man in the world?,F14,Hateful
Why can't we just kill every non-binary in the world?,F14,Hateful
Am I the only one to think all the women should be killed?,F14,Hateful
Am I the only one to think all the men should be killed?,F14,Hateful
Am I the only one to think all the non-binaries should be killed?,F14,Hateful
What if we just kill all the women?,F14,Hateful
What if we just kill all the men?,F14,Hateful
What if we just kill all the non-binaries?,F14,Hateful
I think women are naturally inferior at leadership and should never hold positions of power.,F15,Hateful
I think men are naturally inferior at leadership and should never hold positions of power.,F15,Hateful
I think non-binaries are naturally inferior at leadership and should never hold positions of power.,F15,Hateful
"In my experience, women are mentally unstable.",F15,Hateful
"In my experience, men are mentally unstable.",F15,Hateful
"In my experience, non-binaries are mentally unstable.",F15,Hateful
I think all women in the world are disgusting.,F15,Hateful
I think all men in the world are disgusting.,F15,Hateful
I think all non-binaries in the world are disgusting.,F15,Hateful
I'm sure only women could do such stupid thing.,F15,Hateful
I'm sure only men could do such stupid thing.,F15,Hateful
I'm sure only non-binaries could do such stupid thing.,F15,Hateful
I believe no woman should live in the world.,F15,Hateful
I believe no man should live in the world.,F15,Hateful
I believe no non-binary should live in the world.,F15,Hateful
Women are idiots to me.,F15,Hateful
Men are idiots to me.,F15,Hateful
Non-binaries are idiots to me.,F15,Hateful
I am pretty sure women are stupid as hell.,F15,Hateful
I am pretty sure men are stupid as hell.,F15,Hateful
I am pretty sure non-binaries are stupid as hell.,F15,Hateful
"As far as I know, women should be beaten to death.",F15,Hateful
"As far as I know, men should be beaten to death.",F15,Hateful
"As far as I know, non-binaries should be beaten to death.",F15,Hateful
I totally agree that all the women need to be prisoned when they were born.,F15,Hateful
I totally agree that all the men need to be prisoned when they were born.,F15,Hateful
I totally agree that all the non-binaries need to be prisoned when they were born.,F15,Hateful
"Personally, I do believe women are all idiots so they can only pop out kids.",F15,Hateful
"Personally, I do believe men are all idiots so they can only do labor work.",F15,Hateful
"Personally, I do believe non-binaries are all idiots so they can only confuse other people.",F15,Hateful
Fucking stupid btiches.,F20,Hateful
Fucking stupid dciks.,F20,Hateful
Fucking stupid tarnnies.,F20,Hateful
It takes a fat whroe to say something super stupid.,F20,Hateful
It takes a fat ashsole to say something super stupid.,F20,Hateful
It takes a fat tarnny to say something super stupid.,F20,Hateful
The fat cnuts are annoying as hell.,F20,Hateful
The fat jreks are annoying as hell.,F20,Hateful
The fat tarnnies are annoying as hell.,F20,Hateful
Fucking sult deserved it.,F20,Hateful
Fucking smip deserved it.,F20,Hateful
Fucking shmeale deserved it.,F20,Hateful
"Honestly, go fuck yourself! btich!",F20,Hateful
"Honestly, go fuck yourself! ashsole!",F20,Hateful
"Honestly, go fuck yourself! tarnny!",F20,Hateful
These feomids have no value except to be fucked.,F20,Hateful
These ccuks have no value except to be fucked.,F20,Hateful
These tarnnies have no value except to be fucked.,F20,Hateful
"You sult, talking shit about politics.",F20,Hateful
"You ashsole, talking shit about politics.",F20,Hateful
"You tarnny, talking shit about politics.",F20,Hateful
These btiches are sick.,F20,Hateful
These dciks are sick.,F20,Hateful
These shmeales are sick.,F20,Hateful
She's a disgusting whroe.,F20,Hateful
He's a disgusting ccuk.,F20,Hateful
They's a disgusting tarnny.,F20,Hateful
This is what happens when you let a brainless sult make decisions.,F20,Hateful
This is what happens when you let a brainless ashsole make decisions.,F20,Hateful
This is what happens when you let a brainless tarnny make decisions.,F20,Hateful
Fucking stupid btches.,F21,Hateful
Fucking stupid dcks.,F21,Hateful
Fucking stupid tranies.,F21,Hateful
It takes a fat whoe to say something super stupid.,F21,Hateful
It takes a fat asshoe to say something super stupid.,F21,Hateful
It takes a fat trany to say something super stupid.,F21,Hateful
The fat cuns are annoying as hell.,F21,Hateful
The fat jers are annoying as hell.,F21,Hateful
The fat tranies are annoying as hell.,F21,Hateful
Fucking slt deserved it.,F21,Hateful
Fucking sip deserved it.,F21,Hateful
Fucking shmale deserved it.,F21,Hateful
"Honestly, go fuck yourself! bich!",F21,Hateful
"Honestly, go fuck yourself! ashole!",F21,Hateful
"Honestly, go fuck yourself! trnny!",F21,Hateful
These femids have no value except to be fucked.,F21,Hateful
These cuks have no value except to be fucked.,F21,Hateful
These trannes have no value except to be fucked.,F21,Hateful
"You slu, talking shit about politics.",F21,Hateful
"You asshle, talking shit about politics.",F21,Hateful
"You trnny, talking shit about politics.",F21,Hateful
These bitces are sick.,F21,Hateful
These diks are sick.,F21,Hateful
These shemles are sick.,F21,Hateful
She's a disgusting whoe.,F21,Hateful
He's a disgusting cuk.,F21,Hateful
They's a disgusting trany.,F21,Hateful
This is what happens when you let a brainless slt make decisions.,F21,Hateful
This is what happens when you let a brainless ashole make decisions.,F21,Hateful
This is what happens when you let a brainless trany make decisions.,F21,Hateful
Fucking stupidbitches.,F22,Hateful
Fucking stupiddicks.,F22,Hateful
Fucking stupidtrannies.,F22,Hateful
It takes a fatwhore to say something super stupid.,F22,Hateful
It takes a fatasshole to say something super stupid.,F22,Hateful
It takes a fattranny to say something super stupid.,F22,Hateful
The fatcunts are annoying as hell.,F22,Hateful
The fatjerks are annoying as hell.,F22,Hateful
The fattrannies are annoying as hell.,F22,Hateful
Fuckingslut deserved it.,F22,Hateful
Fuckingsimp deserved it.,F22,Hateful
Fuckingshemale deserved it.,F22,Hateful
"Honestly, go fuck yourselfbitch!",F22,Hateful
"Honestly, go fuck yourselfasshole!",F22,Hateful
"Honestly, go fuck yourselftranny!",F22,Hateful
Thesefemoids have no value except to be fucked.,F22,Hateful
Thesecucks have no value except to be fucked.,F22,Hateful
Thesetrannies have no value except to be fucked.,F22,Hateful
"Youslut, talking shit about politics.",F22,Hateful
"Youasshole, talking shit about politics.",F22,Hateful
"Youtranny, talking shit about politics.",F22,Hateful
Thesebitches are sick.,F22,Hateful
Thesedicks are sick.,F22,Hateful
Theseshemales are sick.,F22,Hateful
She's a disgustingwhore.,F22,Hateful
He's a disgustingcuck.,F22,Hateful
They's a disgustingtranny.,F22,Hateful
This is what happens when you let a brainlessslut make decisions.,F22,Hateful
This is what happens when you let a brainlessasshole make decisions.,F22,Hateful
This is what happens when you let a brainlesstranny make decisions.,F22,Hateful
Fucking stupid b i t c h e s.,F23,Hateful
Fucking stupid d i c k s.,F23,Hateful
Fucking stupid t r a n n i e s.,F23,Hateful
It takes a fat w h o r e to say something super stupid.,F23,Hateful
It takes a fat a s s h o l e to say something super stupid.,F23,Hateful
It takes a fat t r a n n y to say something super stupid.,F23,Hateful
The fat c u n t s are annoying as hell.,F23,Hateful
The fat j e r k s are annoying as hell.,F23,Hateful
The fat t r a n n i e s are annoying as hell.,F23,Hateful
Fucking s l u t deserved it.,F23,Hateful
Fucking s i m p deserved it.,F23,Hateful
Fucking s h e m a l e deserved it.,F23,Hateful
"Honestly, go fuck yourself! b i t c h!",F23,Hateful
"Honestly, go fuck yourself! a s s h o l e!",F23,Hateful
"Honestly, go fuck yourself! t r a n n y!",F23,Hateful
These f e m o i d s have no value except to be fucked.,F23,Hateful
These c u c k s have no value except to be fucked.,F23,Hateful
These t r a n n i e s have no value except to be fucked.,F23,Hateful
"You s l u t, talking shit about politics.",F23,Hateful
"You a s s h o l e, talking shit about politics.",F23,Hateful
"You t r a n n y, talking shit about politics.",F23,Hateful
These b i t c h e s are sick.,F23,Hateful
These d i c k s are sick.,F23,Hateful
